"","long","lat","freq"
"76",151.5,-36,0
"77",133,-35.5,0
"78",133.5,-35.5,0
"79",134,-35.5,0
"80",134.5,-35.5,0
"81",135,-35.5,0
"82",135.5,-35.5,0
"83",136,-35.5,0
"84",136.5,-35.5,0
"85",137,-35.5,0
"86",137.5,-35.5,0
"87",138,-35.5,0
"88",138.5,-35.5,0
"89",139,-35.5,0
"90",139.5,-35.5,0
"91",140,-35.5,0
"92",140.5,-35.5,0
"93",141,-35.5,0
"94",141.5,-35.5,0
"95",142,-35.5,0
"106",147.5,-35.5,0
"107",148,-35.5,0
"108",148.5,-35.5,0
"109",149,-35.5,0
"110",149.5,-35.5,0
"111",150,-35.5,0
"112",150.5,-35.5,0
"113",151,-35.5,0
"114",151.5,-35.5,0
"115",133,-35,0
"116",133.5,-35,0
"117",134,-35,0
"118",134.5,-35,0
"119",135,-35,0
"120",135.5,-35,0
"121",136,-35,0
"122",136.5,-35,0
"123",137,-35,0
"124",137.5,-35,0
"125",138,-35,0
"126",138.5,-35,0
"127",139,-35,0
"128",139.5,-35,0
"129",140,-35,0
"130",140.5,-35,0
"131",141,-35,0
"132",141.5,-35,0
"133",142,-35,0
"147",149,-35,0
"148",149.5,-35,0
"149",150,-35,0
"150",150.5,-35,0
"151",151,-35,0
"152",151.5,-35,0
"153",133,-34.5,0
"154",133.5,-34.5,0
"155",134,-34.5,0
"156",134.5,-34.5,0
"157",135,-34.5,0
"158",135.5,-34.5,0
"159",136,-34.5,0
"160",136.5,-34.5,0
"161",137,-34.5,0
"162",137.5,-34.5,0
"163",138,-34.5,0
"164",138.5,-34.5,0
"165",139,-34.5,0
"166",139.5,-34.5,0
"185",149,-34.5,0
"186",149.5,-34.5,0
"187",150,-34.5,0
"188",150.5,-34.5,0
"189",151,-34.5,0
"190",151.5,-34.5,0
"191",133,-34,0
"192",133.5,-34,0
"193",134,-34,0
"194",134.5,-34,0
"195",135,-34,0
"196",135.5,-34,0
"197",136,-34,0
"198",136.5,-34,0
"199",137,-34,0
"200",137.5,-34,0
"201",138,-34,0
"202",138.5,-34,0
"222",148.5,-34,0
"223",149,-34,0
"224",149.5,-34,0
"225",150,-34,0
"226",150.5,-34,0
"227",151,-34,0
"228",151.5,-34,0
"229",133,-33.5,0
"230",133.5,-33.5,0
"231",134,-33.5,0
"232",134.5,-33.5,0
"233",135,-33.5,0
"234",135.5,-33.5,0
"235",136,-33.5,0
"236",136.5,-33.5,0
"237",137,-33.5,0
"238",137.5,-33.5,0
"239",138,-33.5,0
"240",138.5,-33.5,0
"244",140.5,-33.5,0
"261",149,-33.5,0
"262",149.5,-33.5,0
"263",150,-33.5,0
"264",150.5,-33.5,0
"265",151,-33.5,0
"266",151.5,-33.5,0
"267",133,-33,0
"268",133.5,-33,0
"269",134,-33,0
"270",134.5,-33,0
"271",135,-33,0
"272",135.5,-33,0
"273",136,-33,0
"274",136.5,-33,0
"275",137,-33,0
"276",137.5,-33,0
"277",138,-33,0
"300",149.5,-33,0
"301",150,-33,0
"302",150.5,-33,0
"303",151,-33,0
"304",151.5,-33,0
"305",133,-32.5,0
"306",133.5,-32.5,0
"307",134,-32.5,0
"308",134.5,-32.5,0
"309",135,-32.5,0
"310",135.5,-32.5,0
"311",136,-32.5,0
"312",136.5,-32.5,0
"313",137,-32.5,0
"340",150.5,-32.5,0
"341",151,-32.5,0
"342",151.5,-32.5,0
"343",133,-32,0
"344",133.5,-32,0
"345",134,-32,0
"346",134.5,-32,0
"347",135,-32,0
"348",135.5,-32,0
"349",136,-32,0
"350",136.5,-32,0
"351",137,-32,0
"379",151,-32,0
"380",151.5,-32,0
"381",133,-31.5,0
"382",133.5,-31.5,0
"383",134,-31.5,0
"384",134.5,-31.5,0
"385",135,-31.5,0
"386",135.5,-31.5,0
"387",136,-31.5,0
"417",151,-31.5,0
"418",151.5,-31.5,0
"419",133,-31,0
"420",133.5,-31,0
"421",134,-31,0
"422",134.5,-31,0
"423",135,-31,0
"428",137.5,-31,0
"429",138,-31,0
"434",140.5,-31,0
"457",133,-30.5,0
"458",133.5,-30.5,0
"459",134,-30.5,0
"460",134.5,-30.5,0
"461",135,-30.5,0
"463",136,-30.5,0
"466",137.5,-30.5,0
"467",138,-30.5,0
"472",140.5,-30.5,0
"495",133,-30,0
"496",133.5,-30,0
"497",134,-30,0
"498",134.5,-30,0
"510",140.5,-30,0
"531",151,-30,0
"532",151.5,-30,0
"533",133,-29.5,0
"534",133.5,-29.5,0
"535",134,-29.5,0
"536",134.5,-29.5,0
"538",135.5,-29.5,0
"539",136,-29.5,0
"548",140.5,-29.5,0
"570",151.5,-29.5,0
"571",133,-29,0
"572",133.5,-29,0
"573",134,-29,0
"579",137,-29,0
"584",139.5,-29,0
"608",151.5,-29,0
"609",133,-28.5,0
"610",133.5,-28.5,0
"614",135.5,-28.5,0
"616",136.5,-28.5,0
"617",137,-28.5,0
"618",137.5,-28.5,0
"622",139.5,-28.5,0
"646",151.5,-28.5,0
"647",133,-28,0
"648",133.5,-28,0
"654",136.5,-28,0
"655",137,-28,0
"656",137.5,-28,0
"657",138,-28,0
"659",139,-28,0
"660",139.5,-28,0
"685",133,-27.5,0
"688",134.5,-27.5,0
"691",136,-27.5,0
"692",136.5,-27.5,0
"693",137,-27.5,0
"694",137.5,-27.5,0
"695",138,-27.5,0
"698",139.5,-27.5,0
"723",133,-27,0
"729",136,-27,0
"730",136.5,-27,0
"731",137,-27,0
"732",137.5,-27,0
"733",138,-27,0
"747",145,-27,0
"760",151.5,-27,0
"763",134,-26.5,0
"767",136,-26.5,0
"768",136.5,-26.5,0
"769",137,-26.5,0
"770",137.5,-26.5,0
"771",138,-26.5,0
"772",138.5,-26.5,0
"775",140,-26.5,0
"798",151.5,-26.5,0
"804",135.5,-26,0
"805",136,-26,0
"806",136.5,-26,0
"807",137,-26,0
"808",137.5,-26,0
"809",138,-26,0
